rho,logF,log2n,n,m,delta,eta,feasible,t,achieved_bits,floor_bits,proof_size_bits,proof_size_kb,mca_bound,list_bound,note
1/2,128.0,24,16777216,1,0.14288108474576272,0.1500121340676897,False,,101.06150202268685,101.06150202268685,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 101.06 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.142881). No finite t helps.
1/2,128.0,24,16777216,1,0.1511861525423729,0.14170706627107954,False,,100.98979106724323,100.98979106724323,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 100.99 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.151186). No finite t helps.
1/2,128.0,24,16777216,1,0.15949122033898305,0.13340199847446937,False,,100.91319253318706,100.91319253318706,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 100.91 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.159491). No finite t helps.
1/2,128.0,24,16777216,1,0.16779628813559325,0.12509693067785918,False,,100.83106899817105,100.83106899817105,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 100.83 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.167796). No finite t helps.
1/2,128.0,24,16777216,1,0.17610135593220339,0.11679186288124904,False,,100.74265133243284,100.74265133243284,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 100.74 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.176101). No finite t helps.
1/2,128.0,24,16777216,1,0.18440642372881358,0.10848679508463885,False,,100.64699977080625,100.64699977080625,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 100.65 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.184406). No finite t helps.
1/2,128.0,24,16777216,1,0.19271149152542374,0.10018172728802868,False,,100.54294944948738,100.54294944948738,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 100.54 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.192711). No finite t helps.
1/2,128.0,24,16777216,1,0.2010165593220339,0.09187665949141852,False,,100.42903231766611,100.42903231766611,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 100.43 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.201017). No finite t helps.
1/2,128.0,24,16777216,1,0.20932162711864408,0.08357159169480835,False,,100.30336194814873,100.30336194814873,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 100.30 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.209322). No finite t helps.
1/2,128.0,24,16777216,1,0.21762669491525427,0.07526652389819816,False,,100.163457852225,100.163457852225,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 100.16 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.217627). No finite t helps.
1/2,128.0,24,16777216,1,0.2259317627118644,0.06696145610158802,False,,100.00596665053185,100.00596665053185,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 100.01 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.225932). No finite t helps.
1/2,128.0,24,16777216,1,0.2342368305084746,0.058656388304977825,False,,99.82619764699774,99.82619764699774,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 99.83 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.234237). No finite t helps.
1/2,128.0,24,16777216,1,0.24254189830508477,0.05035132050836766,False,,99.61730146504696,99.61730146504696,,,unique-decoding,interleave-listsize,infeasible: t-independent floor = 99.62 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.242542). No finite t helps.
1/2,128.0,24,16777216,1,0.25084696610169493,0.04204625271175749,False,,81.14060068658429,81.14060068658429,,,bchks-johnson,interleave-listsize,infeasible: t-independent floor = 81.14 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.250847). No finite t helps.
1/2,128.0,24,16777216,1,0.2591520338983051,0.033741184915147326,False,,79.55327037497197,79.55327037497197,,,bchks-johnson,interleave-listsize,infeasible: t-independent floor = 79.55 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.259152). No finite t helps.
1/2,128.0,24,16777216,1,0.26745710169491527,0.02543611711853716,False,,77.51511073086766,77.51511073086766,,,bchks-johnson,interleave-listsize,infeasible: t-independent floor = 77.52 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.267457). No finite t helps.
1/2,128.0,24,16777216,1,0.27576216949152543,0.017131049321926994,False,,74.66378654188495,74.66378654188495,,,bchks-johnson,interleave-listsize,infeasible: t-independent floor = 74.66 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.275762). No finite t helps.
1/2,128.0,24,16777216,1,0.2840672372881356,0.008825981525316828,False,,69.87986220516086,69.87986220516086,,,bchks-johnson,interleave-listsize,infeasible: t-independent floor = 69.88 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.284067). No finite t helps.
1/2,128.0,24,16777216,1,0.29237230508474576,0.0005209137287066623,False,,49.46666040169091,49.46666040169091,,,bchks-johnson,interleave-listsize,infeasible: t-independent floor = 49.47 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.292372). No finite t helps.
1/2,128.0,24,16777216,1,0.300677372881356,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.300677). No finite t helps.
1/2,128.0,24,16777216,1,0.3089824406779661,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.308982). No finite t helps.
1/2,128.0,24,16777216,1,0.31728750847457626,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.317288). No finite t helps.
1/2,128.0,24,16777216,1,0.3255925762711865,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.325593). No finite t helps.
1/2,128.0,24,16777216,1,0.33389764406779665,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.333898). No finite t helps.
1/2,128.0,24,16777216,1,0.34220271186440676,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.342203). No finite t helps.
1/2,128.0,24,16777216,1,0.350507779661017,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.350508). No finite t helps.
1/2,128.0,24,16777216,1,0.35881284745762715,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.358813). No finite t helps.
1/2,128.0,24,16777216,1,0.3671179152542373,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.367118). No finite t helps.
1/2,128.0,24,16777216,1,0.3754229830508475,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.375423). No finite t helps.
1/2,128.0,24,16777216,1,0.38372805084745765,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.383728). No finite t helps.
1/2,128.0,24,16777216,1,0.3920331186440678,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.392033). No finite t helps.
1/2,128.0,24,16777216,1,0.40033818644067803,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.400338). No finite t helps.
1/2,128.0,24,16777216,1,0.40864325423728814,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.408643). No finite t helps.
1/2,128.0,24,16777216,1,0.4169483220338983,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.416948). No finite t helps.
1/2,128.0,24,16777216,1,0.42525338983050853,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.425253). No finite t helps.
1/2,128.0,24,16777216,1,0.43355845762711864,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.433558). No finite t helps.
1/2,128.0,24,16777216,1,0.4418635254237288,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.441864). No finite t helps.
1/2,128.0,24,16777216,1,0.45016859322033903,,False,,-0.0,-0.0,,,unknown-beyond-johnson,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.450169). No finite t helps.
1/2,128.0,24,16777216,1,0.4584736610169492,,False,,-0.0,-0.0,,,proven-near-capacity-nogo,,infeasible: t-independent floor = -0.00 bits < target 128.00 bits (eps_mca + list/|F| too large at delta=0.458474). No finite t helps.
